age,male_death_probability,male_number_of_lives,male_life_expectancy,female_death_probability,female_number_of_lives,female_life_expectancy
0,0.006015,100000,75.79,0.005125,100000,81.06
1,0.000479,99399,75.25,0.000392,99487,80.48
2,0.000320,99351,74.28,0.000229,99448,79.51
3,0.000249,99319,73.31,0.000188,99426,78.53
4,0.000194,99294,72.33,0.000155,99407,77.54
5,0.000159,99275,71.34,0.000133,99392,76.55
6,0.000137,99259,70.35,0.000115,99378,75.56
7,0.000125,99246,69.36,0.000105,99367,74.57
8,0.000120,99233,68.37,0.000100,99357,73.58
9,0.000120,99221,67.38,0.000098,99347,72.59
10,0.000125,99210,66.39,0.000101,99337,71.59
11,0.000140,99197,65.39,0.000111,99327,70.60
12,0.000173,99183,64.40,0.000126,99316,69.61
13,0.000233,99166,63.41,0.000152,99303,68.62
14,0.000327,99143,62.43,0.000188,99288,67.63
15,0.000463,99111,61.45,0.000229,99270,66.64
16,0.000634,99065,60.48,0.000273,99247,65.66
17,0.000819,99002,59.51,0.000323,99220,64.67
18,0.000999,98921,58.56,0.000372,99188,63.69
19,0.001138,98822,57.62,0.000410,99151,62.72
20,0.001235,98709,56.69,0.000441,99110,61.74
21,0.001315,98588,55.76,0.000476,99066,60.77
22,0.001378,98458,54.83,0.000513,99019,59.80
23,0.001439,98322,53.90,0.000546,98968,58.83
24,0.001509,98181,52.98,0.000582,98914,57.86
25,0.001595,98033,52.06,0.000609,98857,56.90
26,0.001685,97876,51.14,0.000641,98797,55.93
27,0.001783,97711,50.23,0.000683,98733,54.97
28,0.001876,97537,49.32,0.000740,98666,54.00
29,0.001970,97354,48.41,0.000808,98593,53.04
30,0.002085,97162,47.50,0.000878,98513,52.08
31,0.002202,96960,46.60,0.000947,98427,51.13
32,0.002308,96746,45.70,0.001018,98333,50.18
33,0.002407,96523,44.81,0.001089,98233,49.23
34,0.002490,96291,43.91,0.001154,98126,48.28
35,0.002577,96051,43.02,0.001209,98013,47.34
36,0.002665,95803,42.13,0.001263,97895,46.39
37,0.002764,95548,41.24,0.001347,97771,45.45
38,0.002864,95284,40.36,0.001438,97639,44.51
39,0.002987,95011,39.47,0.001533,97499,43.58
40,0.003115,94727,38.59,0.001643,97350,42.64
41,0.003253,94432,37.71,0.001742,97190,41.71
42,0.003419,94125,36.83,0.001845,97020,40.78
43,0.003600,93803,35.95,0.001954,96841,39.86
44,0.003777,93465,35.08,0.002075,96652,38.93
45,0.003931,93112,34.21,0.002187,96452,38.01
46,0.004073,92746,33.34,0.002306,96241,37.10
47,0.004245,92369,32.48,0.002438,96019,36.18
48,0.004477,91977,31.62,0.002595,95785,35.27
49,0.004795,91565,30.76,0.002791,95536,34.36
50,0.005126,91126,29.90,0.003030,95269,33.45
51,0.005496,90659,29.05,0.003288,94981,32.55
52,0.005917,90160,28.21,0.003554,94668,31.66
53,0.006404,89627,27.38,0.003847,94332,30.77
54,0.006923,89053,26.55,0.004172,93969,29.89
55,0.007491,88436,25.73,0.004532,93577,29.01
56,0.008173,87774,24.92,0.004923,93153,28.14
57,0.008938,87056,24.12,0.005365,92694,27.28
58,0.009714,86278,23.34,0.005815,92197,26.42
59,0.010494,85440,22.56,0.006333,91661,25.57
60,0.011337,84544,21.79,0.006923,91080,24.73
61,0.012232,83585,21.04,0.007555,90450,23.90
62,0.013196,82563,20.29,0.008220,89767,23.08
63,0.014229,81473,19.56,0.008881,89029,22.27
64,0.015316,80314,18.83,0.009514,88238,21.46
65,0.016455,79084,18.12,0.010188,87399,20.66
66,0.017574,77783,17.41,0.010880,86508,19.87
67,0.018735,76416,16.71,0.011659,85567,19.08
68,0.019981,74984,16.02,0.012543,84569,18.30
69,0.021366,73486,15.34,0.013581,83509,17.53
70,0.022903,71916,14.66,0.014769,82374,16.76
71,0.024615,70269,14.00,0.016153,81158,16.01
72,0.026504,68539,13.34,0.017705,79847,15.26
73,0.028648,66722,12.69,0.019495,78433,14.53
74,0.031071,64811,12.05,0.021533,76904,13.81
75,0.033802,62797,11.42,0.023846,75248,13.10
76,0.037010,60675,10.80,0.026458,73454,12.41
77,0.041158,58429,10.19,0.029700,71510,11.73
78,0.045461,56024,9.61,0.033135,69387,11.08
79,0.050346,53477,9.04,0.036982,67087,10.44
80,0.055633,50785,8.50,0.041183,64606,9.82
81,0.061757,47960,7.97,0.045959,61946,9.22
82,0.068358,44998,7.46,0.051282,59099,8.64
83,0.075420,41922,6.97,0.057262,56068,8.08
84,0.083364,38760,6.50,0.064107,52857,7.54
85,0.092680,35529,6.04,0.071752,49469,7.02
86,0.103459,32236,5.61,0.080490,45919,6.53
87,0.115502,28901,5.20,0.090566,42223,6.05
88,0.129018,25563,4.81,0.102204,38399,5.61
89,0.143810,22265,4.45,0.115178,34475,5.19
90,0.159458,19063,4.11,0.129176,30504,4.80
91,0.176551,16023,3.80,0.144229,26564,4.44
92,0.195360,13194,3.50,0.160353,22732,4.10
93,0.216286,10617,3.23,0.177635,19087,3.79
94,0.238799,8320,2.99,0.196502,15697,3.50
95,0.262268,6333,2.77,0.216846,12612,3.23
96,0.286291,4672,2.58,0.238750,9877,2.99
97,0.310944,3335,2.41,0.261359,7519,2.77
98,0.332325,2298,2.27,0.283899,5554,2.57
99,0.349036,1534,2.15,0.306491,3977,2.39
100,0.366568,999,2.04,0.329680,2758,2.23
101,0.384960,633,1.93,0.353333,1849,2.08
102,0.404252,389,1.83,0.377300,1196,1.94
103,0.424488,232,1.72,0.401416,745,1.82
104,0.445712,133,1.63,0.425501,446,1.70
105,0.467998,74,1.54,0.451031,256,1.59
106,0.491398,39,1.45,0.478092,141,1.48
107,0.515968,20,1.36,0.506778,73,1.38
108,0.541766,10,1.28,0.537185,36,1.29
109,0.568854,4,1.20,0.568854,17,1.20
110,0.597297,2,1.13,0.597297,7,1.13
111,0.627162,1,1.05,0.627162,3,1.05
112,0.658520,0,0.98,0.658520,1,0.98
113,0.691446,0,0.92,0.691446,0,0.92
114,0.726018,0,0.85,0.726018,0,0.85
115,0.762319,0,0.79,0.762319,0,0.79
116,0.800435,0,0.74,0.800435,0,0.74
117,0.840457,0,0.68,0.840457,0,0.68
118,0.882480,0,0.63,0.882480,0,0.63
119,0.926604,0,0.58,0.926604,0,0.58
